RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11530,구로구,10600,고척동,1,대지,0241,0023,정실맨션,2025-04-01,18000,61.7,26.0,2.0,,,2000,연립다세대,직거래,
2025,11620,관악구,10100,봉천동,1,대지,1737,0000,관악중앙하이츠포레,2025-04-01,77000,79.168,0.0,4.0,,,2022,아파트,중개거래,서울 관악구
2025,11470,양천구,10300,신월동,1,대지,0532,0015,브룩힐타운나동,2025-04-01,25000,72.16,35.0,3.0,,,2003,연립다세대,직거래,
2025,11110,종로구,11800,내수동,1,대지,0073,0000,경희궁의아침4단지,2025-04-01,191000,124.17,0.0,10.0,,,2004,아파트,중개거래,서울 종로구
2025,11320,도봉구,10700,창동,1,대지,0601,0048,우미빌라,2025-04-01,19000,37.25,18.0,-1.0,,,1992,연립다세대,직거래,
2025,11260,중랑구,10200,상봉동,1,대지,0063,0000,건영2차아파트,2025-04-01,71500,84.96,0.0,4.0,,,1996,아파트,중개거래,서울 중랑구
2025,11500,강서구,10200,등촌동,1,대지,0365,0182,오성트레빌(365-182),2025-04-01,35000,113.97,61.0,3.0,,,2002,연립다세대,직거래,
2025,11620,관악구,10100,봉천동,1,대지,1730,0001,e편한세상서울대입구2단지,2025-04-01,105800,59.9,0.0,6.0,,,2019,아파트,중개거래,서울 관악구
2025,11560,영등포구,13200,신길동,1,대지,4780,0000,보라매경남아너스빌,2025-04-01,96000,84.79,0.0,3.0,,,2005,아파트,중개거래,서울 영등포구
2025,11530,구로구,10200,구로동,1,대지,0685,0204,근상프리즘팰리스,2025-04-01,47000,84.95,101.4815,8.0,,,2008,오피스텔,중개거래,서울 구로구
2025,11545,금천구,10200,독산동,1,대지,0899,0013,대성아트빌(899-13),2025-04-01,20000,29.87,17.0,3.0,,,2016,연립다세대,중개거래,서울 강동구
2025,11545,금천구,10100,가산동,1,대지,0151,0045,(151-45),2025-04-01,28700,48.64,27.0,3.0,,,2015,연립다세대,중개거래,서울 금천구
2025,11500,강서구,10300,화곡동,1,대지,1110,0000,연우넥스트파크뷰,2025-04-01,14900,15.29,22.98,15.0,,,2019,오피스텔,중개거래,서울 강서구
2025,11305,강북구,10200,번동,1,대지,0417,0051,bella51,2025-04-01,36000,32.62,11.0,7.0,,,2023,연립다세대,직거래,
2025,11560,영등포구,11000,여의도동,1,대지,0050,0000,시범,2025-04-01,250000,79.24,0.0,8.0,,,1971,아파트,중개거래,서울 영등포구
2025,11500,강서구,10300,화곡동,1,대지,1161,0000,강서동도센트리움,2025-04-01,9500,14.677,0.0,6.0,,,2012,아파트,중개거래,서울 강서구
2025,11440,마포구,12500,성산동,1,대지,0590,0005,상암월드시티,2025-04-01,12000,19.81,28.29,3.0,,,2014,오피스텔,중개거래,서울 마포구
2025,11440,마포구,10300,신공덕동,1,대지,0001,0048,갑을명가시티2,2025-04-01,9000,16.76,25.62,5.0,,,null,오피스텔,직거래,
